patch_id,neighbor_id,attention_weight
331,330,0.5673626
331,332,0.3382961
332,310,0.09773936
332,331,0.77582395
332,333,0.12643674
333,311,0.1781036
333,332,0.6470654
333,334,0.17483102
334,312,0.42325035
334,333,0.29872534
334,335,0.2780243
335,313,0.37657496
335,334,0.18510802
335,336,0.438317
336,314,0.40584874
336,335,0.21487749
336,337,0.3792738
337,315,0.19134708
337,336,0.57485044
337,338,0.23380254
338,316,0.15859668
338,337,0.6371309
338,339,0.20427242
339,317,0.27297536
339,338,0.50775224
339,340,0.21927239
340,318,0.29349765
340,339,0.38721442
340,341,0.31928793
341,319,0.20132855
341,340,0.18387882
341,342,0.61479264
342,320,0.2628721
342,341,0.122597985
342,343,0.61452997
343,321,0.36077166
343,342,0.18709011
343,344,0.4521382
344,322,0.34904003
344,343,0.23375897
344,345,0.41720095
345,323,0.37074128
345,344,0.2528546
345,346,0.3764041
346,324,0.40412068
346,345,0.3258903
346,347,0.26998907
347,325,0.32381248
347,346,0.3353169
347,348,0.3408706
348,326,0.38822505
348,347,0.2713689
348,349,0.34040603
349,327,0.36543676
349,348,0.33816823
349,350,0.296395
350,328,0.38325226
350,349,0.36473018
350,351,0.25201747
351,329,0.49908695
351,350,0.50091314
