patch_id,neighbor_id,attention_weight
258,257,0.31578946
258,259,0.15789473
258,280,0.21052632
259,237,0.2631579
259,258,0.31578946
259,260,0.21052632
259,281,0.21052632
260,238,0.36842105
260,259,0.0
260,261,0.15789473
260,282,0.47368422
261,239,0.2631579
261,260,0.21052632
261,262,0.21052632
261,283,0.31578946
262,240,0.36842105
262,261,0.31578946
262,263,0.15789473
262,284,0.15789473
263,241,0.36842105
263,262,0.36842105
263,285,0.2631579
264,242,0.36842105
264,265,0.15789473
264,286,0.47368422
265,243,0.42105263
265,264,0.05263158
265,266,0.10526316
265,287,0.42105263
266,244,0.31578946
266,265,0.10526316
266,267,0.2631579
266,288,0.31578946
267,245,0.36842105
267,266,0.15789473
267,268,0.31578946
267,289,0.15789473
268,246,0.47368422
268,267,0.15789473
268,269,0.05263158
268,290,0.31578946
269,247,0.2631579
269,268,0.36842105
269,270,0.10526316
269,291,0.2631579
270,248,0.47368422
270,269,0.15789473
270,271,0.15789473
270,292,0.21052632
271,249,0.42105263
271,270,0.15789473
271,272,0.2631579
271,293,0.15789473
272,250,0.2631579
272,271,0.21052632
272,273,0.21052632
272,294,0.31578946
273,251,0.31578946
273,272,0.21052632
273,274,0.31578946
273,295,0.15789473
274,252,0.21052632
274,273,0.21052632
274,275,0.47368422
274,296,0.10526316
275,253,0.2631579
275,274,0.2631579
275,276,0.31578946
275,297,0.15789473
276,254,0.47368422
276,275,0.15789473
276,277,0.21052632
276,298,0.15789473
277,255,0.42105263
277,276,0.2631579
277,278,0.21052632
277,299,0.10526316
278,256,0.21052632
278,277,0.21052632
278,279,0.31578946
278,300,0.2631579
279,257,0.36842105
279,278,0.15789473
279,280,0.36842105
279,301,0.10526316
280,258,0.31578946
280,279,0.2631579
280,281,0.2631579
280,302,0.15789473
281,259,0.21052632
281,280,0.21052632
281,282,0.42105263
281,303,0.15789473
282,260,0.42105263
282,281,0.05263158
282,283,0.31578946
282,304,0.21052632
283,261,0.42105263
283,282,0.2631579
283,284,0.21052632
283,305,0.10526316
284,262,0.36842105
284,283,0.21052632
284,285,0.21052632
284,306,0.21052632
285,263,0.31578946
285,284,0.47368422
285,307,0.21052632
286,264,0.31578946
286,287,0.31578946
286,308,0.36842105
287,265,0.15789473
287,286,0.21052632
287,288,0.2631579
287,309,0.36842105
288,266,0.2631579
288,287,0.15789473
288,289,0.15789473
288,310,0.42105263
289,267,0.36842105
289,288,0.10526316
289,290,0.15789473
289,311,0.36842105
290,268,0.5263158
290,289,0.10526316
290,291,0.05263158
290,312,0.31578946
291,269,0.42105263
291,290,0.21052632
291,292,0.0
291,313,0.36842105
292,270,0.36842105
292,291,0.2631579
292,293,0.10526316
292,314,0.2631579
293,271,0.21052632
293,292,0.15789473
293,294,0.2631579
293,315,0.36842105
294,272,0.36842105
294,293,0.2631579
294,295,0.05263158
294,316,0.31578946
295,273,0.31578946
295,294,0.21052632
295,296,0.21052632
295,317,0.2631579
296,274,0.2631579
296,295,0.15789473
296,297,0.31578946
296,318,0.2631579
297,275,0.42105263
297,296,0.10526316
297,298,0.2631579
297,319,0.21052632
298,276,0.31578946
298,297,0.15789473
298,299,0.2631579
298,320,0.2631579
299,277,0.36842105
299,298,0.15789473
299,300,0.21052632
299,321,0.2631579
300,278,0.31578946
300,299,0.21052632
300,301,0.2631579
300,322,0.21052632
301,279,0.2631579
301,300,0.10526316
301,302,0.36842105
301,323,0.2631579
302,280,0.2631579
302,301,0.21052632
302,303,0.31578946
302,324,0.21052632
303,281,0.42105263
303,302,0.15789473
303,304,0.15789473
303,325,0.2631579
304,282,0.36842105
304,303,0.2631579
304,305,0.10526316
304,326,0.2631579
305,283,0.21052632
305,304,0.2631579
305,306,0.36842105
305,327,0.15789473
306,284,0.36842105
306,305,0.31578946
306,307,0.15789473
306,328,0.15789473
307,285,0.57894737
307,306,0.2631579
307,329,0.15789473
308,286,0.21052632
308,309,0.42105263
308,330,0.36842105
309,287,0.10526316
309,308,0.15789473
309,310,0.36842105
309,331,0.36842105
310,288,0.2631579
310,309,0.10526316
310,311,0.21052632
310,332,0.42105263
311,289,0.15816948
311,310,0.21052632
311,312,0.10498842
311,333,0.5263158
312,290,0.21052632
312,311,0.15789473
312,313,0.10526316
312,334,0.5263158
313,291,0.2631579
313,312,0.2631579
313,314,0.05263158
313,335,0.42105263
314,292,0.21052632
314,313,0.21052632
314,315,0.21052632
314,336,0.36842105
315,293,0.31578946
315,314,0.10526316
315,316,0.15789473
315,337,0.42105263
316,294,0.42105263
316,315,0.21052632
316,317,0.10526316
316,338,0.2631579
317,295,0.10526316
317,316,0.2631579
317,318,0.2631579
317,339,0.36842105
318,296,0.10526316
318,317,0.31578946
318,319,0.31578946
318,340,0.2631579
319,297,0.15789473
319,318,0.2631579
319,320,0.42105263
319,341,0.15789473
320,298,0.15789473
320,319,0.15789473
320,321,0.47368422
320,342,0.21052632
321,299,0.15789473
321,320,0.21052632
321,322,0.47368422
321,343,0.15789473
322,300,0.21052632
322,321,0.10526316
322,323,0.36842105
322,344,0.31578946
323,301,0.31578946
323,322,0.15789473
323,324,0.2631579
323,345,0.2631579
324,302,0.42105263
324,323,0.10526316
324,325,0.10526316
324,346,0.36842105
325,303,0.31578946
325,324,0.15789473
325,326,0.15789473
325,347,0.36842105
326,304,0.21052632
326,325,0.21052632
326,327,0.36842105
326,348,0.21052632
327,305,0.2631579
327,326,0.31578946
327,328,0.21052632
327,349,0.21052632
328,306,0.2631579
328,327,0.31578946
328,329,0.15789473
328,350,0.2631579
329,307,0.31578946
329,328,0.2631579
329,351,0.42105263
330,308,0.42105263
330,331,0.57894737
331,309,0.2631579
331,330,0.31578946
331,332,0.42105263
332,310,0.21052632
332,331,0.2631579
332,333,0.5263158
333,311,0.15789473
333,332,0.57894737
333,334,0.2631579
334,312,0.2631579
334,333,0.68421054
334,335,0.05263158
335,313,0.21052632
335,334,0.7368421
335,336,0.05263158
336,314,0.05263158
336,335,0.6315789
336,337,0.31578946
337,315,0.21052632
337,336,0.47368422
337,338,0.31578946
338,316,0.42105263
338,337,0.47368422
338,339,0.10526316
339,317,0.31578946
339,338,0.36842105
339,340,0.31578946
340,318,0.2631579
340,339,0.57894737
340,341,0.15789473
341,319,0.15789473
341,340,0.42105263
341,342,0.42105263
342,320,0.21052632
342,341,0.36842105
342,343,0.42105263
343,321,0.2631579
343,342,0.15789473
343,344,0.57894737
344,322,0.36842105
344,343,0.21052632
344,345,0.42105263
345,323,0.2631579
345,344,0.21052632
345,346,0.5263158
346,324,0.31578946
346,345,0.36842105
346,347,0.31578946
347,325,0.31578946
347,346,0.36842105
347,348,0.31578946
348,326,0.31578946
348,347,0.36842105
348,349,0.31578946
349,327,0.21052632
349,348,0.47368422
349,350,0.31578946
350,328,0.15789473
350,349,0.42105263
350,351,0.42105263
351,329,0.42105263
351,350,0.57894737
